"run_id","pair","layer","metric","value","n_samples","left_modality","right_modality","reduction_used","k"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_00","cka","0.9994128175361431","1169","depth","depth_joint_with_normals","false","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_01","cka","0.9957713514977776","1169","depth","depth_joint_with_normals","false","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_02","cka","0.9960272638605605","1169","depth","depth_joint_with_normals","false","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_03","cka","0.9880625144200182","1169","depth","depth_joint_with_normals","false","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_04","cka","0.9856985683553443","1169","depth","depth_joint_with_normals","false","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_05","cka","0.9870723979070097","1169","depth","depth_joint_with_normals","false","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_06","cka","0.9848035557008618","1169","depth","depth_joint_with_normals","false","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_07","cka","0.9849126413218698","1169","depth","depth_joint_with_normals","false","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_08","cka","0.9760279517644459","1169","depth","depth_joint_with_normals","false","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_09","cka","0.970028126068481","1169","depth","depth_joint_with_normals","false","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_10","cka","0.9553429943983158","1169","depth","depth_joint_with_normals","false","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_11","cka","0.9464390785671978","1169","depth","depth_joint_with_normals","false","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_00","pwcca","0.8618534497622565","1169","depth","depth_joint_with_normals","true","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_01","pwcca","0.8502803423700191","1169","depth","depth_joint_with_normals","true","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_02","pwcca","0.8813944481282332","1169","depth","depth_joint_with_normals","true","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_03","pwcca","0.8379127684355636","1169","depth","depth_joint_with_normals","true","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_04","pwcca","0.8285637319223813","1169","depth","depth_joint_with_normals","true","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_05","pwcca","0.8270644699501208","1169","depth","depth_joint_with_normals","true","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_06","pwcca","0.8198200101340509","1169","depth","depth_joint_with_normals","true","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_07","pwcca","0.8063387793004733","1169","depth","depth_joint_with_normals","true","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_08","pwcca","0.7935892809615612","1169","depth","depth_joint_with_normals","true","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_09","pwcca","0.7745383345969735","1169","depth","depth_joint_with_normals","true","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_10","pwcca","0.7564671925997414","1169","depth","depth_joint_with_normals","true","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_11","pwcca","0.7408635602277771","1169","depth","depth_joint_with_normals","true","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_00","knn_overlap","0.8456800684345595","1169","depth","depth_joint_with_normals","true","10"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_01","knn_overlap","0.7209580838323354","1169","depth","depth_joint_with_normals","true","10"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_02","knn_overlap","0.7830624465355005","1169","depth","depth_joint_with_normals","true","10"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_03","knn_overlap","0.7043627031650984","1169","depth","depth_joint_with_normals","true","10"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_04","knn_overlap","0.693584260051326","1169","depth","depth_joint_with_normals","true","10"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_05","knn_overlap","0.7143712574850299","1169","depth","depth_joint_with_normals","true","10"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_06","knn_overlap","0.7014542343883662","1169","depth","depth_joint_with_normals","true","10"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_07","knn_overlap","0.6917878528656971","1169","depth","depth_joint_with_normals","true","10"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_08","knn_overlap","0.6742514970059881","1169","depth","depth_joint_with_normals","true","10"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_09","knn_overlap","0.641830624465355","1169","depth","depth_joint_with_normals","true","10"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_10","knn_overlap","0.626005132591959","1169","depth","depth_joint_with_normals","true","10"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_normals","layer_11","knn_overlap","0.6001710863986313","1169","depth","depth_joint_with_normals","true","10"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_rgb","layer_00","cka","0.99195769717668","3395","depth","depth_joint_with_rgb","false","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_rgb","layer_01","cka","0.9926861212019106","3395","depth","depth_joint_with_rgb","false","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_rgb","layer_02","cka","0.9922830220819925","3395","depth","depth_joint_with_rgb","false","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_rgb","layer_03","cka","0.9889256756124781","3395","depth","depth_joint_with_rgb","false","null"
"rq1_full_pipeline_diode_train+val_indoors+oudoor_joint_null_A-20260517-160317","depth-depth_joint_with_rgb","layer_04","cka","0.986679558053543","3395","depth","depth_joint_with_rgb","false","null"
