run_id,pair,layer,metric,value,n_samples,left_modality,right_modality
rq1_cka_pipeline-20260428-153626,rgb-depth,layer_00,cka,0.013519161975390872,98,rgb,depth
rq1_cka_pipeline-20260428-153626,rgb-depth,layer_01,cka,0.01626171146179274,98,rgb,depth
rq1_cka_pipeline-20260428-153626,rgb-depth,layer_02,cka,0.025273123443162595,98,rgb,depth
rq1_cka_pipeline-20260428-153626,rgb-depth,layer_03,cka,0.04388765530566075,98,rgb,depth
rq1_cka_pipeline-20260428-153626,rgb-depth,layer_04,cka,0.05669546262584238,98,rgb,depth
rq1_cka_pipeline-20260428-153626,rgb-depth,layer_05,cka,0.07740100245554725,98,rgb,depth
rq1_cka_pipeline-20260428-153626,rgb-depth,layer_06,cka,0.09675458138981731,98,rgb,depth
rq1_cka_pipeline-20260428-153626,rgb-depth,layer_07,cka,0.11880742847759981,98,rgb,depth
rq1_cka_pipeline-20260428-153626,rgb-depth,layer_08,cka,0.13959535554048036,98,rgb,depth
rq1_cka_pipeline-20260428-153626,rgb-depth,layer_09,cka,0.14373579730526972,98,rgb,depth
rq1_cka_pipeline-20260428-153626,rgb-depth,layer_10,cka,0.15080283423844754,98,rgb,depth
rq1_cka_pipeline-20260428-153626,rgb-depth,layer_11,cka,0.11888605529470883,98,rgb,depth
